peaks,surface_conditions,date,jday,state,surface_index,Date_new
40,"jefferson, adams, madison",dry,2009-09-20,263,NH,1,2009-09-20
84,adams,snow snow,2008-10-24,298,NH,0,2008-10-24
209,"madison, adams, jefferson, washington",snow ice snow ice,2009-02-16,47,NH,0,2009-02-16
256,"madison, adams, adams",ice snow ice snow,2009-03-15,74,NH,0,2009-03-15
266,"madison, adams",dry wet wet mud,2009-10-23,296,NH,0,2009-10-23
375,"adams, madison",wet wet mud,2009-11-15,319,NH,0,2009-11-15
377,"madison, adams, jefferson, clay, washington, monroe",wet wet,2009-11-15,319,NH,1,2009-11-15
385,"jefferson, adams",dry ice,2009-11-18,322,NH,0,2009-11-18
388,"madison, adams",dry ice,2009-11-18,322,NH,0,2009-11-18
556,"madison, adams, jefferson",snow snow snow ice snow ice snow ice,2009-12-19,353,NH,0,2009-12-19
604,"adams, madison",snow snow,2009-12-26,360,NH,0,2009-12-26
640,"madison, adams",snow ice snow ice,2009-12-31,365,NH,0,2009-12-31
743,"madison, adams",snow snow,2010-01-14,14,NH,0,2010-01-14
781,"madison, adams",snow ice snow snow ice,2010-01-17,17,NH,0,2010-01-17
782,"madison, adams, sam adams",snow snow snow snow snow ice,2010-01-17,17,NH,0,2010-01-17
815,"adams, madison",snow snow snow ice,2010-01-22,22,NH,0,2010-01-22
826,"madison, adams, jefferson",snow snow snow,2010-01-23,23,NH,0,2010-01-23
827,"madison, adams",snow snow snow ice,2010-01-23,23,NH,0,2010-01-23
828,"madison, adams",snow snow snow ice,2010-01-23,23,NH,0,2010-01-23
1031,"adams, madison",snow,2010-02-13,44,NH,0,2010-02-13
1116,"madison, adams",snow snow snow,2010-02-22,53,NH,0,2010-02-22
1191,"madison, adams",snow snow,2010-03-05,64,NH,0,2010-03-05
1242,adams,snow,2010-03-10,69,NH,0,2010-03-10
1248,adams,snow,2010-03-10,69,NH,0,2010-03-10
1353,"jefferson, adams",snow snow snow ice snow ice snow,2010-03-19,78,NH,0,2010-03-19
1373,"madison, adams",snow ice,2010-03-27,86,NH,0,2010-03-27
1430,adams,wet snow snow ice snow,2010-04-04,94,NH,0,2010-04-04
1557,adams,dry snow wet snow snow ice,2010-04-22,112,NH,0,2010-04-22
1579,"adams, madison",dry wet wet mud snow ice snow snow,2010-04-24,114,NH,0,2010-04-24
1585,"adams, madison",dry wet wet mud snow snow ice snow snow ice snow ice,2010-04-24,114,NH,0,2010-04-24
1640,"adams, madison",dry snow mud snow ice slush snow,2010-05-01,121,NH,0,2010-05-01
1837,adams,snow ice,2010-05-22,142,NH,0,2010-05-22
1913,"jefferson, adams, madison",dry wet wet snow snow ice,2010-05-30,150,NH,0,2010-05-30
1976,"madison, adams",dry wet mud,2010-06-09,160,NH,0,2010-06-09
2026,adams,dry wet wet mud,2010-06-15,166,NH,0,2010-06-15
2065,"jefferson, adams",dry wet mud,2010-06-19,170,NH,0,2010-06-19
2067,"madison, adams, jefferson, clay, washington, monroe, eisenhower, pierce, jackson, webster",dry wet mud,2010-06-19,170,NH,0,2010-06-19
2088,"madison, adams, jefferson",dry wet mud,2010-06-22,173,NH,0,2010-06-22
2090,"jefferson, adams",wet wet,2010-06-23,174,NH,1,2010-06-23
2125,"jefferson, adams",dry wet wet mud,2010-06-27,178,NH,0,2010-06-27
2172,"adams, madison",dry wet mud,2010-07-03,184,NH,0,2010-07-03
2245,"madison, adams",dry wet mud,2010-07-13,194,NH,0,2010-07-13
2284,"jefferson, adams, madison",dry wet mud,2010-07-18,199,NH,0,2010-07-18
2290,"adams, sam adams, john quincy adams, adams , adams",dry wet mud,2010-07-17,198,NH,0,2010-07-17
2292,john quincy adams,dry wet wet mud,2010-07-18,199,NH,0,2010-07-18
2342,"adams, madison",dry wet,2010-07-27,208,NH,1,2010-07-27
2357,"adams, madison",dry,2010-07-30,211,NH,1,2010-07-30
2381,adams,dry,2010-08-01,213,NH,1,2010-08-01
2387,"jefferson, adams",dry wet,2010-07-30,211,NH,1,2010-07-30
2453,"jefferson, adams",dry wet wet,2010-08-13,225,NH,1,2010-08-13
2477,"adams, jefferson",dry wet wet,2010-08-15,227,NH,1,2010-08-15
2478,"jefferson, adams",dry,2010-08-13,225,NH,1,2010-08-13
2487,adams,dry wet wet,2010-08-15,227,NH,1,2010-08-15
2514,"adams, jefferson",dry,2010-08-21,233,NH,1,2010-08-21
2515,"adams, madison",dry wet,2010-08-20,232,NH,1,2010-08-20
2522,adams,dry wet mud,2010-08-21,233,NH,0,2010-08-21
2658,"adams, adams",wet wet,2010-09-11,254,NH,1,2010-09-11
2684,"adams, sam adams, adams , adams",dry wet mud,2010-09-18,261,NH,0,2010-09-18
2686,"adams, madison",dry wet wet,2010-09-18,261,NH,1,2010-09-18
2690,"madison, adams, sam adams, adams , jefferson",dry,2010-09-18,261,NH,1,2010-09-18
2802,"madison, adams",dry wet wet,2010-10-05,278,NH,1,2010-10-05
2857,"adams, madison",wet wet mud,2010-10-12,285,NH,0,2010-10-12
3039,"adams, madison",dry ice wet snow ice wet snow snow ice snow,2010-11-02,306,NH,0,2010-11-02
3044,"jefferson, adams, madison",dry wet snow snow ice snow,2010-11-03,307,NH,0,2010-11-03
3056,"madison, john quincy adams, adams",wet wet snow ice snow,2010-11-06,310,NH,0,2010-11-06
3109,"jefferson, adams",dry wet wet snow ice snow,2010-11-13,317,NH,0,2010-11-13
3135,"adams, madison",dry wet wet snow ice snow,2010-11-14,318,NH,0,2010-11-14
3136,"madison, adams, jefferson",dry snow ice wet wet ice snow ice snow ice snow,2010-11-13,317,NH,0,2010-11-13
3147,"adams, madison",dry snow ice wet wet ice snow snow ice,2010-11-12,316,NH,0,2010-11-12
3420,john quincy adams,snow ice snow snow,2010-12-19,353,NH,0,2010-12-19
3459,"adams, madison",snow snow,2010-12-24,358,NH,0,2010-12-24
3645,adams,snow ice snow snow ice snow ice,2011-01-10,10,NH,0,2011-01-10
3758,adams,snow snow,2011-01-22,22,NH,0,2011-01-22
3776,adams,snow snow ice snow,2011-01-26,26,NH,0,2011-01-26
3843,"madison, adams",snow ice snow,2011-02-05,36,NH,0,2011-02-05
3942,"madison, adams, jefferson",snow snow snow,2011-02-16,47,NH,0,2011-02-16
3943,"adams, madison",snow snow ice snow ice snow ice,2011-02-16,47,NH,0,2011-02-16
4000,adams,snow snow snow,2011-02-22,53,NH,0,2011-02-22
4009,adams,snow snow snow snow ice,2011-02-23,54,NH,0,2011-02-23
4079,"adams, madison",snow snow ice,2011-03-04,63,NH,0,2011-03-04
4116,"madison, adams",snow ice ice snow ice,2011-03-08,67,NH,0,2011-03-08
4125,"jefferson, adams, madison",snow ice ice snow ice snow ice,2011-03-09,68,NH,0,2011-03-09
4131,"adams, madison",snow ice,2011-03-09,68,NH,0,2011-03-09
4175,"adams, madison",snow snow snow ice,2011-03-15,74,NH,0,2011-03-15
4199,"mansfield the chin, mansfield adams apple",snow snow snow ice snow,2011-03-17,76,VT,0,2011-03-17
4265,adams,snow ice snow ice,2011-03-23,82,NH,0,2011-03-23
4320,"adams, madison",snow snow snow ice snow ice,2011-03-30,89,NH,0,2011-03-30
4405,"madison, adams",snow ice snow,2011-04-09,99,NH,0,2011-04-09
4533,"jefferson, adams, madison",snow wet ice snow snow ice snow ice,2011-04-22,112,NH,0,2011-04-22
4550,"madison, adams, jefferson, washington, monroe, eisenhower, pierce",snow ice snow ice snow ice,2011-04-16,106,NH,0,2011-04-16
4566,"madison, adams, jefferson, clay, washington, monroe",dry wet snow snow ice snow ice slush snow,2011-04-25,115,NH,0,2011-04-25
4600,"adams, madison",snow ice snow ice snow ice,2011-04-30,120,NH,0,2011-04-30
4630,"madison, adams, jefferson",dry wet snow ice snow,2011-05-01,121,NH,0,2011-05-01
4642,"adams, madison",dry wet snow ice snow ice,2011-05-02,122,NH,0,2011-05-02
4725,adams,dry wet wet snow ice,2011-05-12,132,NH,0,2011-05-12
4832,"madison, adams",dry wet snow ice snow,2011-05-22,142,NH,0,2011-05-22
4912,"madison, adams",dry wet wet mud,2011-05-30,150,NH,0,2011-05-30
4973,"adams, madison",dry wet wet,2011-06-04,155,NH,1,2011-06-04
5001,adams,dry wet,2011-06-04,155,NH,1,2011-06-04
5085,"madison, adams, jefferson, monroe, eisenhower, pierce, jackson",dry wet wet,2011-06-19,170,NH,1,2011-06-19
5095,"madison, adams, jefferson, clay, washington, monroe, eisenhower, pierce, jackson",dry wet,2011-06-19,170,NH,1,2011-06-19
5138,adams,dry,2011-06-21,172,NH,1,2011-06-21
5182,"pierce, eisenhower, monroe, washington, clay, jefferson, adams, madison",dry wet,2011-06-27,178,NH,1,2011-06-27
5188,"adams, jefferson, washington, monroe",dry wet wet,2011-06-28,179,NH,1,2011-06-28
5222,"madison, adams, jefferson",dry wet wet,2011-07-02,183,NH,1,2011-07-02
5285,adams,dry wet,2011-07-06,187,NH,1,2011-07-06
5297,adams,dry wet,2011-07-09,190,NH,1,2011-07-09
5304,"madison, adams",dry,2011-07-10,191,NH,1,2011-07-10
5332,"madison, adams",dry,2011-07-11,192,NH,1,2011-07-11
5370,"madison, adams, jefferson, washington, monroe, eisenhower, pierce",dry,2011-07-16,197,NH,1,2011-07-16
5396,"adams, madison",dry,2011-07-19,200,NH,1,2011-07-19
5413,adams,dry,2011-07-23,204,NH,1,2011-07-23
5430,adams,dry,2011-07-23,204,NH,1,2011-07-23
5459,adams,dry,2011-07-23,204,NH,1,2011-07-23
5499,"madison, adams",dry,2011-07-31,212,NH,1,2011-07-31
5503,"adams, jefferson",dry wet,2011-07-31,212,NH,1,2011-07-31
5543,"adams, madison",dry,2011-08-05,217,NH,1,2011-08-05
5604,"jefferson, adams, madison",dry wet,2011-08-12,224,NH,1,2011-08-12
5624,adams,dry,2011-08-13,225,NH,1,2011-08-13
5626,"jefferson, sam adams, adams, madison",dry,2011-08-13,225,NH,1,2011-08-13
5678,"pierce, eisenhower, monroe, washington, clay, jefferson, adams, madison",dry wet wet,2011-08-20,232,NH,1,2011-08-20
5695,"adams, madison",dry wet,2011-08-20,232,NH,1,2011-08-20
5888,"madison, adams",dry wet wet,2011-09-10,253,NH,1,2011-09-10
5897,"jefferson, adams",dry,2011-09-10,253,NH,1,2011-09-10
